X,Y,ID,Longitude,Latitude
565129.527394177,844720.921500222,"334",-8.4094979893,7.6415979769
564544.564582191,844103.223834971,"335",-8.4148090146,7.6360179763
564807.850765831,844266.767701093,"336",-8.4124200046,7.6374940295
565025.019681459,844437.32052042,"337",-8.4104490001,7.6390340365
566248.47518652,846487.048514594,"338",-8.399330992,7.657558965
566236.098372613,846505.388474894,"339",-8.399442975,7.65772501
563572.494562982,844596.651002708,"340",-8.423615964,7.640492991
561538.646220219,842578.450515401,"341",-8.4420790337,7.6222620159
561434.28212972,842765.260212229,"342",-8.4430230036,7.6239529811
561481.197446448,842819.71568801,"343",-8.4425970353,7.6244449988
561952.893321738,842620.44618098,"344",-8.4383230191,7.6226370223
561446.550244561,842744.268648296,"345",-8.4429120272,7.6237629633
561432.938194215,842782.17928452,"346",-8.4430349898,7.6241060346
561212.4661166,840097.512150669,"347",-8.4450650029,7.5998250023
562572.134273653,842371.955720486,"348",-8.4327120055,7.6203820389
562664.226036288,842381.686203963,"349",-8.4318770003,7.6204689592
562627.237200911,842407.732370029,"350",-8.4322120249,7.6207049936
562614.336633375,842402.961639712,"351",-8.4323290363,7.6206619944
562614.235079275,842402.850310027,"352",-8.4323299583,7.6206609886
562615.881376005,842402.407677144,"353",-8.4323150385,7.6206569653
562615.779675799,842402.407543513,"354",-8.4323159605,7.6206569653
562594.200019047,842283.090057864,"355",-8.4325130191,7.6195779629
562134.849205678,840537.828255651,"356",-8.4366980195,7.6037970185
562594.119143517,842513.597003551,"357",-8.4325110074,7.6216629613
562719.172887432,842367.395232121,"358",-8.4313790314,7.6203390397
562164.516088601,843079.521011711,"359",-8.436399037,7.6267869864
561614.975157323,842837.467302994,"360",-8.4413840063,7.6246040035
561664.893418131,840232.524295295,"361",-8.4409619775,7.6010409649
561312.182341428,840185.533573273,"362",-8.4441600088,7.6006200258
563552.927324072,842231.956046957,"363",-8.4238219913,7.6191039663
563560.63575947,842240.704751538,"364",-8.4237520024,7.6191830076
562868.141552818,842911.078792402,"365",-8.4300220013,7.6252550259
562899.704460505,842477.850349512,"366",-8.4297410399,7.6213359833
564151.678953026,842956.566065,"367",-8.418384986,7.625650987
564849.048022039,844225.800380501,"368",-8.4120470099,7.6371229626
566096.054953287,846321.555210263,"369",-8.4007150121,7.6560639683
564969.777025235,845554.517007693,"370",-8.4109359886,7.6491400134
563159.979217944,843591.153486297,"371",-8.4273680393,7.6314029843
561875.10005624,843069.858895433,"372",-8.4390229918,7.6267029997
562045.994921735,843210.15535591,"373",-8.4374720044,7.6279700082
564280.47901498,845916.312560394,"374",-8.4171810094,7.6524210256
564997.972992587,845825.522119145,"375",-8.4106769878,7.6515909657
565201.252505256,845662.957812315,"376",-8.4088359866,7.6501180138
565796.287865184,846309.758938482,"377",-8.4034330118,7.6559610385
565833.297403699,846348.05388297,"378",-8.4030969813,7.6563069597
565892.95401588,846514.751640406,"379",-8.4025540017,7.6578140259
565787.480066163,846534.500747588,"380",-8.4035100415,7.6579939853
565872.252978674,846569.3314216,"381",-8.4027410019,7.6583079714
565902.93919214,846554.121107456,"382",-8.4024629742,7.6581700053
563997.671665739,844122.167086395,"383",-8.4197669942,7.636196008
564930.364433172,845014.402067702,"384",-8.4113000147,7.6442550402
564973.783005043,845207.819583564,"385",-8.4109039698,7.6460040081
564986.029615079,845844.965761892,"386",-8.4107850306,7.6517669857
565198.291564674,845651.342617052,"387",-8.4088629764,7.6500129886
561405.430538253,839471.134512694,"388",-8.443322992,7.5941569917
561378.981903719,839453.188246328,"389",-8.4435629658,7.5939949695
562295.932469921,842795.569138356,"390",-8.4352109861,7.624217011
562007.049413057,843049.801529067,"391",-8.437826978,7.6265200227
562004.952850966,843048.140076638,"392",-8.437846005,7.6265050191
561989.073081342,843045.135556221,"393",-8.4379900061,7.6264780294
561433.721550261,842769.790855834,"394",-8.4430280328,7.6239939686
561427.6114008,839464.416918712,"395",-8.4431219939,7.5940959714
561434.020087061,839456.35396223,"396",-8.4430639911,7.5940229651
560816.889438792,840362.781875202,"397",-8.448648015,7.6022290159
561254.495786044,840265.495092055,"398",-8.4446820337,7.6013439707
561298.819401991,840281.147616172,"399",-8.4442800377,7.6014850382
561667.285604638,840255.97186969,"400",-8.4409400169,7.6012530271
561584.005016066,842649.815627987,"401",-8.4416669793,7.6229070034
561627.053622955,842791.603982213,"402",-8.4412750416,7.6241890155
561115.599456633,839595.584099276,"403",-8.4459489584,7.595286034
564020.699736757,844137.339743669,"404",-8.419558033,7.636332968
564047.167186043,844145.446698323,"405",-8.419317976,7.636405975
562337.715483026,843570.285022873,"406",-8.434822988,7.631224031
564405.939967141,845229.489998388,"407",-8.416051967,7.646207018
566051.171053283,846314.968972977,"408",-8.401122037,7.65600496
565909.074180908,846264.026967282,"409",-8.402411006,7.655545967
566023.485541907,846319.471065103,"410",-8.401372992,7.656046031
566036.961624861,846301.68856911,"411",-8.401251035,7.655885015
565082.970370619,845933.873263191,"412",-8.409905015,7.652569972
565043.261362665,843923.036719622,"413",-8.410289995,7.634381997
564442.916185185,845205.215186953,"414",-8.415717026,7.645986993
565006.894814159,845588.947139757,"415",-8.410599036,7.649450982
561709.468501671,842948.140277271,"416",-8.440526035,7.625603965
562329.26936489,843362.423727487,"417",-8.4349020291,7.6293439697
562003.948864534,843059.416247959,"418",-8.437854974,7.626607027
560328.810734996,840599.850643545,"419",-8.453069972,7.604378974
561604.485594807,842848.619986777,"420",-8.4414789733,7.6247050054
562345.477131541,842867.718953039,"421",-8.4347609617,7.6248690393
562150.583671598,842604.450033581,"422",-8.4365309682,7.6224900037
562126.558269436,842587.395932446,"423",-8.4367489815,7.6223360281
561515.409852089,839473.814900764,"424",-8.4423259646,7.5941799581
560358.014351133,838610.901207319,"425",-8.4528279863,7.5863879733
560390.176936218,838563.737862377,"426",-8.4525369667,7.5859609991
560392.710987125,838563.296265172,"427",-8.4525140002,7.5859569758
560420.791245657,838512.58796599,"428",-8.4522600286,7.5854979828
560365.629317115,838606.713055926,"429",-8.4527590033,7.5863500033
560230.160328316,838519.86295185,"430",-8.4539880417,7.58556596
560402.868136887,838559.556119802,"431",-8.4524219669,7.5859230291
560410.791158342,838575.041289038,"432",-8.4523499664,7.5860630069
560422.148244548,838572.952112688,"433",-8.4522470366,7.58604398
560418.736791691,838572.614209033,"434",-8.4522779658,7.5860409625
560430.369915694,838527.639698144,"435",-8.4521730244,7.5856340211
560990.690630245,839619.851319127,"436",-8.4470810182,7.595506981
562631.81243671,840182.815702198,"437",-8.4321970213,7.6005799603
562419.736231876,839722.970258433,"438",-8.4341250267,7.5964230392
